"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx","type"
2675,30.5438804826664,558763.669219402,6812115.22738048,"STN02675",177.8,NA,NA,"STN02675",NA,"RB01"
2700,-27.7894900281087,558738.37805255,6812057.02050997,"STN02700",177.7,NA,NA,"STN02700",NA,"LB01"
2700,29.3150261233025,558738.663575131,6812114.12502612,"STN02700",177.7,NA,NA,"STN02700",NA,"RB01"
2725,-28.1802460650218,558713.37609877,6812056.75625393,"STN02725",177.7,NA,NA,"STN02725",NA,"LB01"
2725,21.5385048754065,558713.624692524,6812106.47500488,"STN02725",177.7,NA,NA,"STN02725",NA,"RB01"
2750,-27.3165684175861,558688.380917158,6812057.74643158,"STN02750",177.3,NA,NA,"STN02750",NA,"LB01"
2750,22.075047204898,558688.627875236,6812107.13804721,"STN02750",177.3,NA,NA,"STN02750",NA,"RB01"
2775,-21.3912428129146,558663.270022601,6812063.91075719,"STN02775",177.5,NA,NA,"STN02775",NA,"LB01"
2775,37.1978850484676,558664.090270391,6812122.49988505,"STN02775",177.5,NA,NA,"STN02775",NA,"RB01"
2800,-17.6739811912226,558629.580818182,6812083.28819436,"STN02800",177.5,NA,NA,"STN02800",NA,"LB01"
2800,40.2829403606103,558673.280337032,6812121.36589182,"STN02800",177.5,NA,NA,"STN02800",NA,"RB01"
2825,-17.8315042269266,558613.034045813,6812102.02920172,"STN02825",177.3,NA,NA,"STN02825",NA,"LB01"
2825,34.0315956678701,558652.138823134,6812136.10325835,"STN02825",177.3,NA,NA,"STN02825",NA,"RB01"
2850,-9.43994140625,558602.93328418,6812126.3869585,"STN02850",177.5,NA,NA,"STN02850",NA,"LB01"
2850,69.0905410875725,558662.14526798,6812177.98148549,"STN02850",177.5,NA,NA,"STN02850",NA,"RB01"
2875,-17.8591876208895,558586.524260348,6812127.17729207,"STN02875",177.6,NA,NA,"STN02875",NA,"LB01"
2875,57.0710102580043,558603.158764277,6812200.234235,"STN02875",177.6,NA,NA,"STN02875",NA,"RB01"
2900,-25.7561819704154,558582.849239353,6812119.20373296,"STN02900",177.7,NA,NA,"STN02900",NA,"LB01"
2900,23.9572489253613,558556.799401563,6812161.55957608,"STN02900",177.7,NA,NA,"STN02900",NA,"RB01"
2925,-24.9230335759566,558569.873506081,6812109.21468267,"STN02925",177.6,NA,NA,"STN02925",NA,"LB01"
2925,18.9918219780836,558537.069108982,6812138.41806162,"STN02925",177.6,NA,NA,"STN02925",NA,"RB01"
2950,-33.8189704641348,558559.901270937,6812084.62138464,"STN02950",177.4,NA,NA,"STN02950",NA,"LB01"
2950,15.5744562041425,558523.004381215,6812117.46801338,"STN02950",177.4,NA,NA,"STN02950",NA,"RB01"
2975,-73.4594059405931,558586.640749505,6812054.21826733,"STN02975",177.7,NA,NA,"STN02975",NA,"LB01"
2975,10.6857441799633,558511.499130447,6812092.08358488,"STN02975",177.7,NA,NA,"STN02975",NA,"RB01"
3000,-36.5263411500161,558552.21634115,6812064.09586829,"STN03000",177.5,NA,NA,"STN03000",NA,"LB01"
3000,1.7981410980623,558513.891858902,6812064.28749071,"STN03000",177.5,NA,NA,"STN03000",NA,"RB01"
3025,-66.1885427135675,558581.752542714,6812038.94805729,"STN03025",177.6,NA,NA,"STN03025",NA,"LB01"
3025,-0.153423855788386,558515.717423856,6812039.27823288,"STN03025",177.6,NA,NA,"STN03025",NA,"RB01"
3050,-37.7272575946734,558553.165257595,6812014.09036371,"STN03050",177.3,NA,NA,"STN03050",NA,"LB01"
