"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
15350,20,554965.6875,6804998.912,7,169.820007324219,185.537506103516,NA,"STN15350",61
15375,18,554967.5685,6804973.9025,7,169.926666259766,NA,NA,"STN15375",60
15400,-8,554993.45,6804948.773,7,170.332000732422,NA,NA,"STN15400",47
15425,-16,555001.3315,6804923.733,7,170.284286499023,NA,NA,"STN15425",43
15450,-34,555019.2125,6804898.643,7,170.227493286133,186.029998779297,NA,"STN15450",34
15475,-24,555005.052,6804868.4835,7,170.119995117188,NA,NA,"STN15475",39
15500,-2,554971.968,6804853.038,7,170.110000610352,184.203338623047,NA,"STN15500",50
15525,-7,554959.102,6804831.03,7,170.029998779297,184.447998046875,NA,"STN15525",46
15550,4,554934.268,6804819.646,7,169.764999389648,179.873336791992,NA,"STN15550",53
15575,10,554913.174,6804804.942,7,170.113327026367,174.418563842773,NA,"STN15575",56
15600,20,554889.3785,6804785.883,7,170.240005493164,184.485000610352,NA,"STN15600",61
15625,20,554881.641,6804758.85,7,169.699996948242,191.570007324219,NA,"STN15625",61
15650,16,554879.165,6804745.092,7,170.095001220703,NA,NA,"STN15650",59
15675,6,554873.645,6804715.6855,7,169.92399597168,190.371429443359,NA,"STN15675",54
15700,16,554859.873,6804690.299,7,170.289993286133,185.78352355957,NA,"STN15700",59
15725,26,554849.7545,6804665.3495,7,169.779998779297,181.024993896484,NA,"STN15725",64
15750,34,554841.6355,6804640.39,7,169.955993652344,185.297149658203,NA,"STN15750",68
15775,44,554831.517,6804615.44,7,169.574005126953,NA,NA,"STN15775",73
15800,44,554831.3985,6804590.4405,7,169.384994506836,190.8125,NA,"STN15800",73
15825,30,554843.175,6804575.8895,7,169.380004882812,NA,NA,"STN15825",65
15850,8,554853.784,6804551.426,7,169.835006713867,189.816665649414,NA,"STN15850",55
15875,-14,554863.5515,6804522.863,7,169.963333129883,NA,NA,"STN15875",44
15900,-8,554855.887,6804500.532,7,169.759994506836,182.813339233398,NA,"STN15900",47
15925,8,554837.2585,6804478.5145,7,169.517501831055,179.570007324219,NA,"STN15925",55
15950,6,554829.45,6804459.805,7,169.464996337891,NA,NA,"STN15950",54
15975,2,554821.085,6804435.39,7,169.574996948242,NA,NA,"STN15975",52
16000,0,554820.3755,6804410.923,7,169.835006713867,NA,NA,"STN16000",51
16025,-4,554822.3115,6804385.992,7,169.770004272461,170.860000610352,NA,"STN16025",49
16050,-8,554814.0925,6804360.2165,7,169.884994506836,NA,NA,"STN16050",47
16075,-4,554794.495,6804344.184,7,169.532852172852,NA,NA,"STN16075",49
16100,6,554770.4095,6804332.1355,7,169.065002441406,NA,169.089996337891,"STN16100",53
16125,-6,554772.1165,6804306.2375,7,169.634002685547,189.210006713867,NA,"STN16125",48
16150,-10,554768.295,6804278.8425,7,169.971435546875,NA,NA,"STN16150",46
16175,-6,554749.2825,6804260.8105,7,169.851669311523,171.146667480469,NA,"STN16175",48
16200,-6,554723.883,6804250.5155,7,169.98713684082,NA,NA,"STN16200",48
16225,-16,554698.833,6804240.634,7,169.907501220703,177.623336791992,NA,"STN16225",43
16250,-27,554673.778,6804229.752,7,169.429992675781,NA,NA,"STN16250",NA
16275,-28,554670.6195,6804227.826,7,169.38200378418,180.919998168945,NA,"STN16275",37
16300,0,554634.275,6804233.7755,7,169.61833190918,NA,NA,"STN16300",51
16325,7,554612.5835,6804232.2535,7,169.860000610352,185.775833129883,NA,"STN16325",53
16350,8,554586.7785,6804220.3105,7,169.399993896484,NA,NA,"STN16350",55
16375,2,554573.332,6804202.4865,7,169.570007324219,NA,NA,"STN16375",52
16400,-40,554551.248,6804155.778,7,169.610000610352,182.558181762695,NA,"STN16400",31
16425,-22,554532.9155,6804171.726,7,169.490005493164,181.241821289062,NA,"STN16425",40
16450,-1,554508.9005,6804180.3305,7,168.970001220703,184.646362304688,NA,"STN16450",49
16475,8,554486.591,6804176.1955,7,169.393997192383,NA,NA,"STN16475",55
16500,16,554460.1265,6804174.126,7,169.095001220703,NA,NA,"STN16500",59
16525,27,554429.047,6804163.2305,7,169.103332519531,NA,NA,"STN16525",63
