distance,angle,east,nrth,code,east_2,nrth_2,grp
55075.000000000000000,270.179743378408034,536100.787,6791465.367,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55100.000000000000000,270.179608691998396,536075.787,6791465.446,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55125.000000000000000,270.179473995900878,536050.787,6791465.524,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55150.000000000000000,270.179339301864275,536025.787,6791465.602,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55175.000000000000000,270.179204611600539,536000.787,6791465.681,"5366791",536000.000000000000000,6791000.000000000000000,"2"
51275.000000000000000,270.184005257819763,536981.711,6792385.853,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51300.000000000000000,221.504442916094916,536957.619,6792383.910,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51325.000000000000000,221.504442916094916,536941.052,6792365.187,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51350.000000000000000,221.504335007634751,536924.485,6792346.465,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51375.000000000000000,221.504335007634751,536907.918,6792327.742,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51400.000000000000000,221.504227122219987,536891.351,6792309.019,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51425.000000000000000,270.183471444485122,536873.180,6792293.873,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51450.000000000000000,221.503677714207470,536849.091,6792291.924,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51475.000000000000000,221.503677714207470,536832.524,6792273.201,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51500.000000000000000,270.183203725633064,536812.004,6792263.292,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51525.000000000000000,318.862625855780664,536790.310,6792270.619,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51550.000000000000000,318.862625855780664,536773.863,6792289.447,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51575.000000000000000,0.182999331582421,536769.768,6792312.888,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51600.000000000000000,0.182997731041175,536769.848,6792337.888,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51625.000000000000000,41.503737247027345,536774.632,6792361.097,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51650.000000000000000,41.503737247027345,536791.198,6792379.820,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51675.000000000000000,0.183129186413704,536797.112,6792402.598,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51700.000000000000000,41.504125222044571,536804.036,6792424.992,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51725.000000000000000,41.504125222044571,536820.603,6792443.715,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51750.000000000000000,0.183260637038937,536824.376,6792467.309,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51775.000000000000000,318.862209435226532,536815.450,6792488.945,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51800.000000000000000,318.862209435226532,536799.003,6792507.774,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51825.000000000000000,0.183122778376275,536797.526,6792532.192,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51850.000000000000000,318.861917329563198,536786.454,6792553.028,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51875.000000000000000,270.182918402719679,536769.703,6792571.188,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51900.000000000000000,270.182918402719679,536744.703,6792571.268,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51925.000000000000000,270.182783749354599,536719.703,6792571.348,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51950.000000000000000,270.182649098862100,536694.703,6792571.427,"5366792",536000.000000000000000,6792000.000000000000000,"2"
51975.000000000000000,270.182514450586780,536669.703,6792571.507,"5366792",536000.000000000000000,6792000.000000000000000,"2"
52000.000000000000000,221.503517107602164,536650.661,6792558.304,"5366792",536000.000000000000000,6792000.000000000000000,"2"
52025.000000000000000,221.503306939693005,536634.094,6792539.581,"5366792",536000.000000000000000,6792000.000000000000000,"2"
52050.000000000000000,221.503306939693005,536617.528,6792520.858,"5366792",536000.000000000000000,6792000.000000000000000,"2"
52075.000000000000000,270.182113683708621,536597.350,6792510.185,"5366792",536000.000000000000000,6792000.000000000000000,"2"
